Course,CRN,Division,Availability,CourseTitle,Activity,Hours,Days,Time,Teacher
0912-323,70878,81,غير متاحة,النظم المبنية على الويب,عملي,0,ح      ,1235 - 1415, 
0922-312,55267,61,متاحة,كتابة التقارير التقنية,نظري,3,ح  ث    ,1600 - 1715,الاء بسام النعيم
0922-310,58147,61,متاحة,تنظيم الاعمال والإدارة,نظري,3,  ث    ,0900 - 1015,رزان ابراهيم السويلم
0922-310,58147,61,متاحة,تنظيم الاعمال والإدارة,نظري,3,   ر   ,1030 - 1145,رزان ابراهيم السويلم
0922-311,58149,61,متاحة,تحليل وتصميم نظم المعلومات,نظري,4, ن  ر   ,1600 - 1715,مشاعل  الجبيرة
0922-311,58150,81,متاحة,تحليل وتصميم نظم المعلومات,عملي,0,    خ  ,1235 - 1415,لمى علي سيف المشاري
0922-314,58206,61,متاحة,النظم المبنية على الويب,نظري,4, ن  ر   ,1430 - 1545,مرام عبدالله المجحد
0922-314,58208,81,متاحة,النظم المبنية على الويب,عملي,0,ح      ,1235 - 1415,مرام عبدالله المجحد
0922-410,63840,61,ممتلئة,مقترح مشروع,نظري,2,ح      ,2200 - 2250,ريم  العنزي
0922-410,63842,62,ممتلئة,مقترح مشروع,نظري,2,ح      ,2200 - 2250,الهنوف  المطيري
0922-410,63844,63,ممتلئة,مقترح مشروع,نظري,2,ح      ,2300 - 2350,أسماء  الشهيل
0922-410,63861,64,ممتلئة,مقترح مشروع,نظري,2,ح      ,2300 - 2350,عهد شبيب شجاع العتيبي
0922-410,63864,65,غير متاحة,مقترح مشروع,نظري,2, ن     ,2200 - 2250, 
0922-410,63866,66,غير متاحة,مقترح مشروع,نظري,2, ن     ,2200 - 2250, 
0922-410,63869,67,غير متاحة,مقترح مشروع,نظري,2, ن     ,2300 - 2350, 
0922-411,63899,61,متاحة,امن وتوكيد المعلومات,نظري,3,ح    خ  ,0730 - 0845,عهد شبيب شجاع العتيبي
0922-412,63913,61,متاحة,النظم المؤسسية,نظري,3, ن  ر   ,1600 - 1715,بشاير فريد عبدالله الطليحي
0922-420,63919,61,متاحة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,الهنوف  المطيري
0922-420,63921,62,ممتلئة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,مشاعل  الجبيرة
0922-420,63924,63,ممتلئة,تنفيذ مشروع,نظري,3,ح      ,2300 - 2350,اميرة عبدالوهاب أحمد سيد احمد
0922-421,63927,61,ممتلئة,موضوعات مختارةفي نظم المعلومات,نظري,3,   ر   ,1430 - 1545,مها ابراهيم البراك
0922-421,63927,61,ممتلئة,موضوعات مختارةفي نظم المعلومات,نظري,3, ن     ,1430 - 1545,مها ابراهيم البراك
0922-422,64286,61,متاحة,الاعمال الالكترونية,نظري,3,ح    خ  ,0900 - 1015,عبدالله عبدالرحمن سعد العليمي
0922-222,65577,61,ممتلئة,مفاهيم وتصميم قواعد البيانات,نظري,4,ح    خ  ,0900 - 1015,الاء بسام النعيم
0922-222,65578,81,ممتلئة,مفاهيم وتصميم قواعد البيانات,عملي,0, ن     ,1235 - 1415,لمى علي سيف المشاري
0922-322,65579,61,متاحة,المسؤولية المهنية,نظري,3,ح  ث    ,1430 - 1545,كوثر  حميد
0922-416,65582,61,ممتلئة,اختبار الاختراق لتطبيقات الويب,ا ختياري,3, ن  ر   ,0730 - 0845,مها ابراهيم البراك
0922-221,66275,61,متاحة,هندسة متطلبات البرمجيات,نظري,4, ن  ر   ,0730 - 0845,اميرة عبدالوهاب أحمد سيد احمد
0922-221,66276,81,متاحة,هندسة متطلبات البرمجيات,عملي,0,ح      ,1600 - 1740,اميرة عبدالوهاب أحمد سيد احمد
0922-323,66282,61,متاحة,إدارة وتقييم قواعد البيانات,نظري,4,  ث    ,1300 - 1415,عبير  الكليب
0922-323,66282,61,متاحة,إدارة وتقييم قواعد البيانات,نظري,4,    خ  ,1430 - 1545,عبير  الكليب
0922-323,66283,81,متاحة,إدارة وتقييم قواعد البيانات,عملي,0,    خ  ,1030 - 1210,شريفه احمد عبدالعزيز العامر
0922-222,66344,62,ممتلئة,مفاهيم وتصميم قواعد البيانات,نظري,4,ح  ث    ,1430 - 1545,الاء بسام النعيم
0922-222,66345,82,ممتلئة,مفاهيم وتصميم قواعد البيانات,عملي,0,ح      ,1030 - 1210,لمى علي سيف المشاري
0922-221,70612,62,غير متاحة,هندسة متطلبات البرمجيات,نظري,4, ن  ر   ,1300 - 1415,اميرة عبدالوهاب أحمد سيد احمد
0922-221,70614,63,ممتلئة,هندسة متطلبات البرمجيات,نظري,4,ح    خ  ,0730 - 0845,اميرة عبدالوهاب أحمد سيد احمد
0922-221,70617,64,متاحة,هندسة متطلبات البرمجيات,نظري,4, ن  ر   ,0900 - 1015,سائره شيخ علي
0922-221,70618,82,غير متاحة,هندسة متطلبات البرمجيات,عملي,0,  ث    ,1235 - 1415,لمى علي سيف المشاري
0922-221,70619,83,ممتلئة,هندسة متطلبات البرمجيات,عملي,0,   ر   ,1030 - 1210,لمى علي سيف المشاري
0922-221,70620,84,متاحة,هندسة متطلبات البرمجيات,عملي,0,ح      ,1235 - 1415,لمى علي سيف المشاري
0922-222,70622,63,ممتلئة,مفاهيم وتصميم قواعد البيانات,نظري,4, ن  ر   ,1300 - 1415,عبير عبدالله عامر الشهري
0922-222,70624,64,غير متاحة,مفاهيم وتصميم قواعد البيانات,نظري,4,ح    خ  ,1030 - 1145,عبير عبدالله عامر الشهري
0922-222,70625,65,ممتلئة,مفاهيم وتصميم قواعد البيانات,نظري,4,ح    خ  ,0900 - 1015,ليلى احمد العبابنه
0922-222,70627,66,ممتلئة,مفاهيم وتصميم قواعد البيانات,نظري,4,ح  ث    ,1430 - 1545,عبير عبدالله عامر الشهري
0922-222,70631,67,ممتلئة,مفاهيم وتصميم قواعد البيانات,نظري,4, ن  ر   ,1300 - 1415,الاء بسام النعيم
0922-222,70634,68,ممتلئة,مفاهيم وتصميم قواعد البيانات,نظري,4,ح    خ  ,1030 - 1145,ليلى احمد العبابنه
0922-222,70640,69,ممتلئة,مفاهيم وتصميم قواعد البيانات,نظري,4, ن  ر   ,0730 - 0845,ريم  العنزي
0922-222,70648,83,ممتلئة,مفاهيم وتصميم قواعد البيانات,عملي,0,ح      ,1235 - 1415,ليلى احمد العبابنه
0922-222,70650,84,غير متاحة,مفاهيم وتصميم قواعد البيانات,عملي,0,  ث    ,1419 - 1559,ليلى احمد العبابنه
0922-222,70653,85,ممتلئة,مفاهيم وتصميم قواعد البيانات,عملي,0,   ر   ,1235 - 1415,لمى علي سيف المشاري
0922-222,70655,86,ممتلئة,مفاهيم وتصميم قواعد البيانات,عملي,0,    خ  ,1030 - 1210,لمى علي سيف المشاري
0922-222,70657,87,ممتلئة,مفاهيم وتصميم قواعد البيانات,عملي,0,    خ  ,1235 - 1415,ليلى احمد العبابنه
0922-222,70660,88,ممتلئة,مفاهيم وتصميم قواعد البيانات,عملي,0,  ث    ,0830 - 1010,لمى علي سيف المشاري
0922-222,70662,89,ممتلئة,مفاهيم وتصميم قواعد البيانات,عملي,0,  ث    ,0830 - 1010,الاء بسام النعيم
0922-224,70668,62,متاحة,التطوير السريع للتطبيقات,نظري,4,  ث    ,0900 - 1015,شريفه احمد عبدالعزيز العامر
0922-224,70668,62,متاحة,التطوير السريع للتطبيقات,نظري,4,   ر   ,1030 - 1145,شريفه احمد عبدالعزيز العامر
0922-224,70672,63,ممتلئة,التطوير السريع للتطبيقات,نظري,4,ح    خ  ,1030 - 1145,عهد شبيب شجاع العتيبي
0922-224,70676,64,ممتلئة,التطوير السريع للتطبيقات,نظري,4,ح    خ  ,0900 - 1015,مرام عبدالله المجحد
0922-224,70682,82,متاحة,التطوير السريع للتطبيقات,عملي,0, ن     ,0830 - 1010,مرام عبدالله المجحد
0922-224,70685,83,ممتلئة,التطوير السريع للتطبيقات,عملي,0, ن     ,1419 - 1559,شريفه احمد عبدالعزيز العامر
0922-224,70688,84,ممتلئة,التطوير السريع للتطبيقات,عملي,0,    خ  ,1235 - 1415,بشاير فريد عبدالله الطليحي
0922-322,70700,62,متاحة,المسؤولية المهنية,نظري,3,ح    خ  ,0730 - 0845,سائره شيخ علي
0922-322,70701,63,ممتلئة,المسؤولية المهنية,نظري,3, ن  ر   ,0730 - 0845,عبير عبدالله عامر الشهري
0922-322,70705,64,ممتلئة,المسؤولية المهنية,نظري,3,  ث    ,0900 - 1015,ريم  العنزي
0922-322,70705,64,ممتلئة,المسؤولية المهنية,نظري,3,   ر   ,1030 - 1145,ريم  العنزي
0922-322,70709,65,ممتلئة,المسؤولية المهنية,نظري,3,    خ  ,1430 - 1545,بشاير فريد عبدالله الطليحي
0922-322,70709,65,ممتلئة,المسؤولية المهنية,نظري,3,  ث    ,1300 - 1415,بشاير فريد عبدالله الطليحي
0922-323,70713,62,ممتلئة,إدارة وتقييم قواعد البيانات,نظري,4,ح    خ  ,1030 - 1145,عبير  الكليب
0922-323,70715,63,متاحة,إدارة وتقييم قواعد البيانات,نظري,4,ح      ,0730 - 0845,عبير  الكليب
0922-323,70715,63,متاحة,إدارة وتقييم قواعد البيانات,نظري,4,    خ  ,0730 - 0845,عبير  الكليب
0922-323,70718,82,متاحة,إدارة وتقييم قواعد البيانات,عملي,0,ح      ,1235 - 1415,الاء بسام النعيم
0922-323,70720,83,متاحة,إدارة وتقييم قواعد البيانات,عملي,0,   ر   ,1030 - 1210,عبير  الكليب
0922-324,70721,61,متاحة,ادارة مشروع تقنية المعلومات,نظري,3,ح  ث    ,1600 - 1715,رزان ابراهيم السويلم
0922-324,70722,62,متاحة,ادارة مشروع تقنية المعلومات,نظري,3,ح  ث    ,1430 - 1545,رزان ابراهيم السويلم
0922-420,70724,64,غير متاحة,تنفيذ مشروع,نظري,3,ح      ,2300 - 2350,مرام عبدالله المجحد
0922-420,70726,65,ممتلئة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250,أسماء  الشهيل
0922-420,70731,66,ممتلئة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250,رزان ابراهيم السويلم
0922-420,70733,67,ممتلئة,تنفيذ مشروع,نظري,3, ن     ,2300 - 2350,مشاعل  الجبيرة
0922-420,70735,68,ممتلئة,تنفيذ مشروع,نظري,3, ن     ,2300 - 2350,اميرة عبدالوهاب أحمد سيد احمد
0922-420,70737,69,ممتلئة,تنفيذ مشروع,نظري,3,  ث    ,2200 - 2250,اميرة عبدالوهاب أحمد سيد احمد
0922-420,70739,70,ممتلئة,تنفيذ مشروع,نظري,3,  ث    ,2200 - 2250, 
0922-420,70740,71,متاحة,تنفيذ مشروع,نظري,3,  ث    ,2200 - 2250,محمد الحسن سليمان
0922-420,70745,72,ممتلئة,تنفيذ مشروع,نظري,3,  ث    ,2200 - 2250,ليلى احمد العبابنه
0922-420,70750,73,ممتلئة,تنفيذ مشروع,نظري,3,   ر   ,2200 - 2250,ريم  العنزي
0922-421,70808,62,ممتلئة,موضوعات مختارةفي نظم المعلومات,نظري,3, ن  ر   ,1430 - 1545,مشاعل  الجبيرة
0922-329,70815,60,متاحة,إدارة مشاريع المعلوماتية الصحي,نظري,3,ح      ,1030 - 1220,كوثر  حميد
0922-329,70817,80,متاحة,إدارة مشاريع المعلوماتية الصحي,عملي,0,  ث    ,0730 - 0920,كوثر  حميد
0922-419,70819,60,متاحة,تفاعل الانسان مع الحاسوب في ال,نظري,3, ن     ,1030 - 1220,ليلى احمد العبابنه
0922-419,70820,80,متاحة,تفاعل الانسان مع الحاسوب في ال,عملي,0,    خ  ,0930 - 1120,مشاعل  الجبيرة
0922-417,70879,61,متاحة,اتصال الانسان بالحاسب,ا ختياري,3,ح  ث    ,1430 - 1545,مشاعل  الجبيرة
0922-424,70880,61,ممتلئة,نظم دعم القرار,نظري,3, ن  ر   ,1300 - 1415,ريم  العنزي
0922-224,75775,61,غير متاحة,التطوير السريع للتطبيقات,نظري,4, ن  ر   ,0900 - 1015,شريفه احمد عبدالعزيز العامر
0922-224,75776,81,غير متاحة,التطوير السريع للتطبيقات,عملي,0,  ث    ,1600 - 1740,مرام عبدالله المجحد
0922-312,75778,62,متاحة,كتابة التقارير التقنية,نظري,3,ح    خ  ,0730 - 0845,بشاير فريد عبدالله الطليحي
0922-312,75780,63,متاحة,كتابة التقارير التقنية,نظري,3, ن  ر   ,0730 - 0845,عبير  الكليب
0922-314,75785,62,متاحة,النظم المبنية على الويب,نظري,4,ح    خ  ,1030 - 1145,مرام عبدالله المجحد
0922-314,75792,82,متاحة,النظم المبنية على الويب,عملي,0, ن     ,1419 - 1559,الاء بسام النعيم
0922-410,75809,68,غير متاحة,مقترح مشروع,نظري,2, ن     ,2300 - 2350, 
0922-410,75810,69,غير متاحة,مقترح مشروع,نظري,2,  ث    ,2200 - 2250, 
0922-410,75811,70,غير متاحة,مقترح مشروع,نظري,2,  ث    ,2200 - 2250, 
0922-410,75812,71,غير متاحة,مقترح مشروع,نظري,2,   ر   ,2200 - 2250, 
0922-410,75814,72,غير متاحة,مقترح مشروع,نظري,2,   ر   ,2200 - 2250, 
0922-422,75824,62,غير متاحة,الاعمال الالكترونية,نظري,3, ن  ر   ,0900 - 1015, 
0922-418,77010,61,متاحة,توكيد جودة  البرمجيات,ا ختياري,3,  ث    ,0900 - 1015,مشاعل  الجبيرة
0922-418,77010,61,متاحة,توكيد جودة  البرمجيات,ا ختياري,3,   ر   ,1030 - 1145,مشاعل  الجبيرة
0922-330,79322,61,ممتلئة,التدريب (التعاوني) العملي,نظري,3,ح      ,1100 - 1230,أسماء  الشهيل
0922-416,79387,62,ممتلئة,اختبار الاختراق لتطبيقات الويب,ا ختياري,3, ن     ,0730 - 0845,مها ابراهيم البراك
0922-416,79387,62,ممتلئة,اختبار الاختراق لتطبيقات الويب,ا ختياري,3,   ر   ,0730 - 0845,مها ابراهيم البراك
0922-312,80477,64,متاحة,كتابة التقارير التقنية,نظري,3,ح    خ  ,0900 - 1015,بشاير فريد عبدالله الطليحي
0922-415,80480,61,متاحة,تحليليات البيانات وتمثيلهابصري,ا ختياري,3,ح    خ  ,1300 - 1415,عهد شبيب شجاع العتيبي
0922-329,70818,81,غير متاحة,إدارة مشاريع المعلوماتية الصحي,عملي,0,  ث    ,1300 - 1450, 
0922-329,70816,61,غير متاحة,إدارة مشاريع المعلوماتية الصحي,نظري,3,ح      ,1030 - 1220, 
0922-420,79064,75,غير متاحة,تنفيذ مشروع,نظري,3,    خ  ,2200 - 2250,ليلى احمد العبابنه
0922-419,77012,61,غير متاحة,تفاعل الانسان مع الحاسوب في ال,نظري,3, ن     ,1030 - 1220, 
0922-419,70821,81,غير متاحة,تفاعل الانسان مع الحاسوب في ال,عملي,0,    خ  ,1030 - 1220, 
0922-420,79063,74,غير متاحة,تنفيذ مشروع,نظري,3,   ر   ,2200 - 2250,ريم  العنزي
0913-313,79320,81,متاحة,معمارية الحاسب,عملي,0,   ر   ,1235 - 1415,مديحة  انجم
0913-313,79319,61,متاحة,معمارية الحاسب,نظري,3,ح    خ  ,0730 - 0845,راضية  سحر
0923-313,58174,61,متاحة,معمارية وتنظيم الحاسب,نظري,4,ح    خ  ,0730 - 0845,راضية  سحر
0923-223,85535,94,غير متاحة,تصميم المنطق الرقمي,عملي,0, ن     ,1030 - 1210,مديحة  انجم
0923-223,65583,61,ممتلئة,تصميم المنطق الرقمي,نظري,4,ح    خ  ,0730 - 0845,اماني خالد العقيلي
0923-223,66186,81,ممتلئة,تصميم المنطق الرقمي,عملي,0,   ر   ,1235 - 1415,منار عبدالرحمن سليم الجهني
0923-223,70760,62,غير متاحة,تصميم المنطق الرقمي,نظري,4,ح    خ  ,0900 - 1015,راضية  سحر
0923-223,70762,63,غير متاحة,تصميم المنطق الرقمي,نظري,4, ن  ر   ,0900 - 1015,راضية  سحر
0923-223,70765,64,متاحة,تصميم المنطق الرقمي,نظري,4,  ث    ,1300 - 1415,راضية  سحر
0923-223,70765,64,متاحة,تصميم المنطق الرقمي,نظري,4,    خ  ,1430 - 1545,راضية  سحر
0923-223,70766,65,ممتلئة,تصميم المنطق الرقمي,نظري,4,ح    خ  ,0730 - 0845,مديحة  انجم
0923-223,70768,66,غير متاحة,تصميم المنطق الرقمي,نظري,4,ح    خ  ,0900 - 1015,مديحة  انجم
0923-223,70770,67,غير متاحة,تصميم المنطق الرقمي,نظري,4, ن  ر   ,0900 - 1015,اماني خالد العقيلي
0923-223,70772,68,متاحة,تصميم المنطق الرقمي,نظري,4,  ث    ,1300 - 1415,مديحة  انجم
0923-223,70772,68,متاحة,تصميم المنطق الرقمي,نظري,4,    خ  ,1430 - 1545,مديحة  انجم
0923-223,70773,82,ممتلئة,تصميم المنطق الرقمي,عملي,0,    خ  ,1030 - 1210,منار عبدالرحمن سليم الجهني
0923-223,70774,83,غير متاحة,تصميم المنطق الرقمي,عملي,0,    خ  ,1235 - 1415,راضية  سحر
0923-223,70775,84,متاحة,تصميم المنطق الرقمي,عملي,0,  ث    ,0830 - 1010,منار عبدالرحمن سليم الجهني
0923-223,70778,85,ممتلئة,تصميم المنطق الرقمي,عملي,0, ن     ,1235 - 1415,منار عبدالرحمن سليم الجهني
0923-223,70781,86,غير متاحة,تصميم المنطق الرقمي,عملي,0, ن     ,1419 - 1559,منار عبدالرحمن سليم الجهني
0923-223,70783,87,غير متاحة,تصميم المنطق الرقمي,عملي,0,ح      ,1235 - 1415,منار عبدالرحمن سليم الجهني
0923-223,70790,88,متاحة,تصميم المنطق الرقمي,عملي,0,ح      ,1030 - 1210,راضية  سحر
0923-223,75831,69,متاحة,تصميم المنطق الرقمي,نظري,4,ح    خ  ,1030 - 1145,مديحة  انجم
0923-223,75835,70,غير متاحة,تصميم المنطق الرقمي,نظري,4,ح    خ  ,1300 - 1415,اماني خالد العقيلي
0923-223,75838,71,غير متاحة,تصميم المنطق الرقمي,نظري,4, ن  ر   ,1430 - 1545,هويدا  الوسيله
0923-223,75864,89,متاحة,تصميم المنطق الرقمي,عملي,0,    خ  ,0830 - 1010,منار عبدالرحمن سليم الجهني
0923-223,75865,90,غير متاحة,تصميم المنطق الرقمي,عملي,0, ن     ,0830 - 1010,منار عبدالرحمن سليم الجهني
0923-223,75867,91,غير متاحة,تصميم المنطق الرقمي,عملي,0,   ر   ,0830 - 1010,مديحة  انجم
0923-313,75868,62,متاحة,معمارية وتنظيم الحاسب,نظري,4, ن  ر   ,1430 - 1545,مديحة  انجم
0923-313,75870,63,غير متاحة,معمارية وتنظيم الحاسب,نظري,4,ح    خ  ,0900 - 1015,اماني خالد العقيلي
0923-313,75872,64,غير متاحة,معمارية وتنظيم الحاسب,نظري,4, ن  ر   ,1430 - 1545, 
0923-313,75874,82,متاحة,معمارية وتنظيم الحاسب,عملي,0,   ر   ,0830 - 1010,منار عبدالرحمن سليم الجهني
0923-313,75875,83,غير متاحة,معمارية وتنظيم الحاسب,عملي,0,ح      ,1419 - 1559,منار عبدالرحمن سليم الجهني
0923-313,75876,84,غير متاحة,معمارية وتنظيم الحاسب,عملي,0,    خ  ,1419 - 1559, 
0923-223,80486,72,غير متاحة,تصميم المنطق الرقمي,نظري,4,ح  ث    ,1430 - 1545,اماني خالد العقيلي
0923-223,80490,92,غير متاحة,تصميم المنطق الرقمي,عملي,0,   ر   ,1030 - 1210,منار عبدالرحمن سليم الجهني
0923-223,85532,93,متاحة,تصميم المنطق الرقمي,عملي,0, ن     ,1030 - 1210,مديحة  انجم
0923-313,58189,81,متاحة,معمارية وتنظيم الحاسب,عملي,0,   ر   ,1235 - 1415,مديحة  انجم
0924-214,55271,61,متاحة,اساسيات شبكات الكمبيوتر,نظري,4,  ث    ,1300 - 1415,فاطمة نجم السلمي
0924-420,85004,68,غير متاحة,تنفيذ مشروع,نظري,3,  ث    ,2200 - 2250,روبينا فاطمه محمد
0924-214,55272,62,متاحة,اساسيات شبكات الكمبيوتر,نظري,4, ن  ر   ,0730 - 0845, 
0924-214,55279,81,متاحة,اساسيات شبكات الكمبيوتر,عملي,0,  ث    ,1419 - 1559,روبينا فاطمه محمد
0924-214,55280,82,متاحة,اساسيات شبكات الكمبيوتر,عملي,0, ن     ,1419 - 1559,روبينا فاطمه محمد
0924-310,58037,61,متاحة,الاساسيات الرياضيةلشبكات الحاس,نظري,3,   ر   ,1030 - 1145,هويدا  الوسيله
0924-310,58037,61,متاحة,الاساسيات الرياضيةلشبكات الحاس,نظري,3,  ث    ,0900 - 1015,هويدا  الوسيله
0924-311,58038,61,متاحة,تصميم ونمذجة الشبكات,نظري,3, ن  ر   ,0730 - 0845,عائده اسماعيل أحمد السماوي
0924-312,58040,61,متاحة,الشبكات اللاسلكية والمتحركة,نظري,3,    خ  ,1430 - 1545,حنان بنت يوسف العيدودي
0924-312,58040,61,متاحة,الشبكات اللاسلكية والمتحركة,نظري,3,  ث    ,1300 - 1415,حنان بنت يوسف العيدودي
0924-410,64039,61,ممتلئة,مقترح مشروع,نظري,2,ح      ,2200 - 2250,عائده اسماعيل أحمد السماوي
0924-410,64040,62,ممتلئة,مقترح مشروع,نظري,2,ح      ,2300 - 2350,عائده اسماعيل أحمد السماوي
0924-410,64044,63,ممتلئة,مقترح مشروع,نظري,2, ن     ,2200 - 2250,فاطمة نجم السلمي
0924-410,64045,64,ممتلئة,مقترح مشروع,نظري,2, ن     ,2300 - 2350,روبينا فاطمه محمد
0924-410,64046,65,ممتلئة,مقترح مشروع,نظري,2,  ث    ,2200 - 2250,فاطمة نجم السلمي
0924-410,64048,66,غير متاحة,مقترح مشروع,نظري,2,  ث    ,2300 - 2350, 
0924-410,64049,67,غير متاحة,مقترح مشروع,نظري,2,   ر   ,2200 - 2250, 
0924-411,64050,61,متاحة,النظم الموزعة,نظري,3,  ث    ,0900 - 1015,عائده اسماعيل أحمد السماوي
0924-411,64050,61,متاحة,النظم الموزعة,نظري,3,   ر   ,1030 - 1145,عائده اسماعيل أحمد السماوي
0924-412,64053,61,متاحة,امن الشبكات,نظري,4, ن     ,0730 - 0845,احمد عبدالمحسن الجغيمان
0924-412,64053,61,متاحة,امن الشبكات,نظري,4,   ر   ,0730 - 0845,احمد عبدالمحسن الجغيمان
0924-412,64054,81,متاحة,امن الشبكات,عملي,0,ح      ,1235 - 1415,روبينا فاطمه محمد
0924-420,64057,61,غير متاحة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,فاطمة خالد الجعفري
0924-420,64059,62,غير متاحة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250,فاطمة خالد الجعفري
0924-420,64061,63,غير متاحة,تنفيذ مشروع,نظري,3,  ث    ,2200 - 2250,محمد مصطفى الغوانم
0924-421,64062,61,ممتلئة,موضوعات مختارة في شبكات الحاسب,نظري,3,    خ  ,1430 - 1545,هويدا  الوسيله
0924-421,64062,61,ممتلئة,موضوعات مختارة في شبكات الحاسب,نظري,3,  ث    ,1300 - 1415,هويدا  الوسيله
0924-413,64289,61,متاحة,ادارة الانظمة,نظري,4, ن  ر   ,1300 - 1415,هويدا  الوسيله
0924-413,64290,81,متاحة,ادارة الانظمة,عملي,0,    خ  ,1600 - 1740,هويدا  الوسيله
0924-324,65005,61,غير متاحة,اساسيات برمجة الشبكات,نظري,4, ن  ر   ,0900 - 1015,فاطمة نجم السلمي
0924-324,65006,81,غير متاحة,اساسيات برمجة الشبكات,عملي,0,    خ  ,1030 - 1210,فاطمة نجم السلمي
0924-220,70754,61,متاحة,اساسيات تطوير البرمجيات,نظري,3, ن  ر   ,0900 - 1015,هويدا  الوسيله
0924-220,70755,62,غير متاحة,اساسيات تطوير البرمجيات,نظري,3,ح    خ  ,1300 - 1415, 
0924-221,70756,61,ممتلئة,اساسيات التوجيه والتبديل,نظري,4, ن  ر   ,0730 - 0845,حنان بنت يوسف العيدودي
0924-221,70757,62,متاحة,اساسيات التوجيه والتبديل,نظري,4, ن  ر   ,1300 - 1415,حنان بنت يوسف العيدودي
0924-221,70758,81,ممتلئة,اساسيات التوجيه والتبديل,عملي,0,ح      ,1030 - 1210,هويدا  الوسيله
0924-221,70759,82,متاحة,اساسيات التوجيه والتبديل,عملي,0,   ر   ,1030 - 1210,روبينا فاطمه محمد
0924-323,70763,81,ممتلئة,محاكاة الشبكات,عملي,0,    خ  ,1419 - 1559,روبينا فاطمه محمد
0924-420,70767,64,غير متاحة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250,منعم علي شاه
0924-420,70769,65,غير متاحة,تنفيذ مشروع,نظري,3,   ر   ,2200 - 2250,فاطمة خالد الجعفري
0924-420,70771,66,غير متاحة,تنفيذ مشروع,نظري,3,    خ  ,2200 - 2250,منعم علي شاه
0924-423,70810,61,متاحة,شبكات الاستشعاروالشبكات غيرالم,ا ختياري,3,ح    خ  ,1030 - 1145,عائده اسماعيل أحمد السماوي
0924-219,70822,60,متاحة,شبكات الحاسب,نظري,3,ح      ,1300 - 1450, 
0924-219,70823,80,متاحة,شبكات الحاسب,عملي,0,   ر   ,0730 - 0920,روبينا فاطمه محمد
0924-323,70881,61,متاحة,محاكاة الشبكات,نظري,4, ن  ر   ,1430 - 1545,روبينا فاطمه محمد
0924-410,72689,68,غير متاحة,مقترح مشروع,نظري,2,    خ  ,2200 - 2250, 
0924-214,75813,83,غير متاحة,اساسيات شبكات الكمبيوتر,عملي,0,   ر   ,1419 - 1559, 
0924-214,75815,63,غير متاحة,اساسيات شبكات الكمبيوتر,نظري,4, ن  ر   ,0730 - 0845, 
0924-221,75817,63,غير متاحة,اساسيات التوجيه والتبديل,نظري,4,ح    خ  ,1030 - 1145, 
0924-221,75820,83,غير متاحة,اساسيات التوجيه والتبديل,عملي,0,   ر   ,1419 - 1559, 
0924-324,75823,62,ممتلئة,اساسيات برمجة الشبكات,نظري,4,ح    خ  ,0900 - 1015,فاطمة نجم السلمي
0924-324,75827,82,ممتلئة,اساسيات برمجة الشبكات,عملي,0,    خ  ,1235 - 1415,فاطمة نجم السلمي
0924-420,75844,67,متاحة,تنفيذ مشروع,نظري,3,    خ  ,2300 - 2350,محمد عبدالعزيز عبداللطيف النعيم
0924-414,77011,61,غير متاحة,الشبكات عالية السرعة,ا ختياري,3, ن  ر   ,0900 - 1015,عائده اسماعيل أحمد السماوي
0924-330,79388,61,ممتلئة,التدريب (التعاوني) العملي,نظري,3,ح      ,1300 - 1430,فاطمة خالد الجعفري
0924-323,80501,62,ممتلئة,محاكاة الشبكات,نظري,4, ن  ر   ,1300 - 1415,روبينا فاطمه محمد
0924-323,80503,82,ممتلئة,محاكاة الشبكات,عملي,0,  ث    ,1235 - 1415,روبينا فاطمه محمد
0924-415,80508,61,متاحة,شبكات الوسائط المتعددةوتطبيقات,ا ختياري,3,ح  ث    ,1430 - 1545,حنان بنت يوسف العيدودي
0924-219,70824,81,متاحة,شبكات الحاسب,عملي,0,   ر   ,1030 - 1220, 
0924-420,85005,69,متاحة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250,عبدالله عبدالرحمن راشد البوعلي
0924-323,85539,83,متاحة,محاكاة الشبكات,عملي,0, ن     ,1030 - 1210,روبينا فاطمه محمد
0924-219,77013,61,متاحة,شبكات الحاسب,نظري,3,ح      ,1300 - 1450, 
0924-214,55271,61,متاحة,اساسيات شبكات الكمبيوتر,نظري,4,    خ  ,1430 - 1545,فاطمة نجم السلمي
